"Timestamp","Wie alt ist Politiker 1?","Wie fortschrittlich ist Politiker 1?","Wie rassistisch ist Politiker 1?","Wie ehrlich ist Politiker 1?","Wie hilfsbereit ist Politiker 1?","Wie intelligent ist Politiker 1?","Wie christlich ist Politiker 1?","Wie freundlich ist Politiker 1?","Zu welcher Partei gehört Politiker 1?","Wie alt ist Politiker 2?","Wie fortschrittlich ist Politiker 2?","Wie rassistisch ist Politiker 2?","Wie ehrlich ist Politiker 2?","Wie hilfsbereit ist Politiker 2?","Wie intelligent ist Politiker 2?","Wie christlich ist Politiker 2?","Wie freundlich ist Politiker 2?","Zu welcher Partei gehört Politiker 2?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/02/18 10:47:57 AM GMT+1","40-59","4","1","5","3","4","1","4","FDP","60-79","2","4","1","1","3","1","1","AfD","20","männlich","Abitur","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/02/18 10:48:38 AM GMT+1","40-59","4","1","5","3","4","3","4","CDU","40-59","4","2","4","3","5","3","3","Grüne","21","männlich","Realschule","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme nicht zu",""
"2022/02/18 10:50:23 AM GMT+1","40-59","4","2","2","3","4","4","3","CDU","60-79","2","4","4","2","3","5","2","AfD","24","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/02/18 10:50:55 AM GMT+1","20-39","4","1","5","3","4","4","4","SPD","60-79","3","3","5","2","3","4","3","CDU","23","männlich","Abitur","CDU","Ich stimme zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme zu",""
"2022/02/18 10:52:39 AM GMT+1","40-59","4","4","3","4","4","5","4","SPD","60-79","3","3","4","3","3","5","2","CDU","23","männlich","Abitur","CDU","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
"2022/02/18 10:52:58 AM GMT+1","40-59","3","2","4","3","3","4","4","CDU","60-79","1","4","3","2","2","4","2","CDU","19","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/02/18 10:54:32 AM GMT+1","60-79","2","3","3","3","3","3","3","keine Angabe","60-79","2","4","3","3","3","3","3","keine Angabe","41","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/02/18 10:55:30 AM GMT+1","40-59","4","1","5","4","4","3","4","CDU","40-59","2","4","4","3","3","2","2","AfD","59","weiblich","Realschule","SPD","Neutral","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme zu",""
"2022/02/18 10:57:08 AM GMT+1","40-59","4","1","5","5","5","3","5","keine Angabe","40-59","4","1","5","4","5","3","3","FDP","37","männlich","Studium","AfD","Ich stimme zu","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme nicht zu",""
"2022/02/18 10:57:25 AM GMT+1","40-59","3","2","4","3","3","3","3","keine Angabe","60-79","2","1","1","2","2","2","2","FDP","35","männlich","Studium","Die Partei","Neutral","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Neutral",""
