"Timestamp","Wie alt ist Politiker 1?","Wie fortschrittlich ist Politiker 1?","Wie rassistisch ist Politiker 1?","Wie ehrlich ist Politiker 1?","Wie hilfsbereit ist Politiker 1?","Wie intelligent ist Politiker 1?","Wie christlich ist Politiker 1?","Wie freundlich ist Politiker 1?","Zu welcher Partei gehört Politiker 1?","Wie alt ist Politiker 2?","Wie fortschrittlich ist Politiker 2?","Wie rassistisch ist Politiker 2?","Wie ehrlich ist Politiker 2?","Wie hilfsbereit ist Politiker 2?","Wie intelligent ist Politiker 2?","Wie christlich ist Politiker 2?","Wie freundlich ist Politiker 2?","Zu welcher Partei gehört Politiker 2?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/05/09 9:35:41 AM GMT+2","40-59","4","1","5","3","2","1","5","SPD","60-79","5","3","4","2","5","1","2","CDU","22","weiblich","Abitur","SPD","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu","Ich stimme nicht zu",""
"2022/05/09 9:38:57 AM GMT+2","60-79","2","4","2","2","2","5","2","CDU","20-39","4","1","3","4","4","2","3","SPD","21","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/09 9:39:44 AM GMT+2","40-59","2","4","2","2","2","4","3","AfD","40-59","3","3","3","3","2","3","3","CDU","28","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu",""
"2022/05/09 9:54:16 AM GMT+2","60-79","1","4","2","2","2","5","1","AfD","40-59","3","2","3","4","3","4","3","CDU","29","männlich","Studium","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/09 9:55:44 AM GMT+2","40-59","2","3","3","2","3","2","2","AfD","40-59","4","2","2","4","2","3","4","SPD","32","männlich","Studium","Grüne","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu","Neutral",""
"2022/05/09 9:56:40 AM GMT+2","60-79","2","3","3","2","3","5","3","keine Angabe","40-59","4","1","3","4","4","3","4","keine Angabe","24","männlich","Abitur","keine Angabe","Neutral","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/09 9:57:23 AM GMT+2","40-59","4","2","1","2","3","4","3","CDU","40-59","5","1","4","3","4","4","3","AfD","37","männlich","Abitur","keine Angabe","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/09 9:57:31 AM GMT+2","60-79","2","4","3","2","3","3","2","AfD","20-39","4","1","4","5","4","3","4","Grüne","39","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Neutral",""
"2022/05/09 10:05:42 AM GMT+2","20-39","2","4","4","3","3","3","3","keine Angabe","40-59","3","3","3","3","3","4","3","CDU","32","männlich","Studium","keine Angabe","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",""
"2022/05/09 10:06:57 AM GMT+2","20-39","3","3","3","3","3","3","3","keine Angabe","40-59","4","3","3","3","3","3","3","FDP","49","männlich","Studium","AfD","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
