"Timestamp","Wie widersprüchlich ist diese Aussage?","Wie widersprüchlich ist diese Aussage?","Wie widersprüchlich ist diese Aussage?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/05/11 10:05:39 AM GMT+2","4","2","3","29","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme nicht zu",""
"2022/05/11 10:15:56 AM GMT+2","4","1","2","38","weiblich","Realschule","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Neutral",""
"2022/05/11 10:17:04 AM GMT+2","4","2","2","20","männlich","Abitur","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",""
"2022/05/11 10:20:38 AM GMT+2","3","2","1","32","männlich","Realschule","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/11 10:21:13 AM GMT+2","4","1","3","21","männlich","Abitur","keine Angabe","Neutral","Neutral","Ich stimme zu","Neutral","Ich stimme zu",""
"2022/05/11 10:21:36 AM GMT+2","4","1","2","30","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/11 10:22:17 AM GMT+2","5","1","1","25","männlich","Realschule","Die Partei","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/05/11 10:22:57 AM GMT+2","3","1","4","37","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/11 1:15:38 PM GMT+2","4","2","3","35","männlich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/11 1:15:40 PM GMT+2","4","2","3","22","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/11 1:15:41 PM GMT+2","5","1","1","24","weiblich","Studium","Linke","Neutral","Ich stimme zu","Neutral","Neutral","Ich stimme nicht zu",""
"2022/05/11 1:16:14 PM GMT+2","5","1","2","27","weiblich","Realschule","Linke","Ich stimme nicht zu","Neutral","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/05/11 1:16:26 PM GMT+2","5","1","3","52","männlich","Realschule","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/11 1:16:32 PM GMT+2","5","1","2","32","männlich","Abitur","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/05/11 1:16:37 PM GMT+2","5","2","2","34","männlich","Studium","CDU","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu",""
"2022/05/11 1:16:39 PM GMT+2","5","2","5","24","männlich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/11 1:16:52 PM GMT+2","5","3","4","38","männlich","Abitur","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Neutral",""
"2022/05/11 1:17:37 PM GMT+2","4","3","4","20","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/11 1:17:39 PM GMT+2","5","3","3","22","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/11 1:18:35 PM GMT+2","5","1","3","46","weiblich","Studium","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Neutral",""
"2022/05/11 1:19:37 PM GMT+2","4","2","1","23","männlich","Abitur","FDP","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/11 1:20:18 PM GMT+2","5","4","3","35","männlich","Studium","CDU","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu","Waren äußerst schwierige Sätze."
"2022/05/11 1:36:44 PM GMT+2","5","2","2","30","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
