"Timestamp","Wie widersprüchlich ist diese Aussage?","Wie widersprüchlich ist diese Aussage?","Wie widersprüchlich ist diese Aussage?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/05/12 8:57:25 AM GMT+2","5","2","4","23","männlich","Hauptschule","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Neutral","Neutral",""
"2022/05/12 9:04:49 AM GMT+2","5","1","3","41","männlich","Abitur","Die Humanisten","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Neutral","Neutral",""
"2022/05/12 9:07:41 AM GMT+2","4","1","4","26","weiblich","Studium","SPD","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Ich stimme zu",""
"2022/05/12 9:09:07 AM GMT+2","5","1","1","49","männlich","Studium","die basis","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
"2022/05/12 9:13:21 AM GMT+2","5","3","5","25","weiblich","Realschule","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",""
"2022/05/12 9:15:23 AM GMT+2","4","2","4","46","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","VIel Erfolg!"
"2022/05/12 9:17:45 AM GMT+2","5","3","3","39","weiblich","Realschule","FDP","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Neutral",""
"2022/05/12 9:18:34 AM GMT+2","5","1","3","23","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/12 9:20:16 AM GMT+2","4","2","4","19","männlich","Abitur","Volt","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/12 9:21:30 AM GMT+2","1","1","1","37","männlich","Realschule","Es ist egal welche Partei man Wählt, jeder sagt nur das wo draus er ein Vorteil erzielt","Neutral","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu",""
"2022/05/12 9:22:53 AM GMT+2","4","2","1","25","weiblich","Abitur","FDP","Ich stimme zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",""
"2022/05/12 9:24:31 AM GMT+2","5","2","1","26","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/12 9:24:35 AM GMT+2","5","1","1","18","weiblich","Abitur","FDP","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme nicht zu",""
"2022/05/12 9:26:03 AM GMT+2","5","2","2","24","männlich","Abitur","keine Angabe","Neutral","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/12 9:26:13 AM GMT+2","4","2","3","24","weiblich","Realschule","Grüne","Neutral","Ich stimme zu","Neutral","Ich stimme zu","Neutral",""
"2022/05/12 9:28:24 AM GMT+2","4","1","1","22","männlich","Abitur","AfD","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
"2022/05/12 9:28:51 AM GMT+2","5","1","4","29","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/12 9:29:34 AM GMT+2","5","1","2","32","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/12 9:31:34 AM GMT+2","5","2","5","18","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/12 9:31:55 AM GMT+2","5","1","1","25","weiblich","Studium","SPD","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu",""
"2022/05/12 9:32:25 AM GMT+2","4","1","1","35","männlich","Studium","SPD","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/12 9:33:33 AM GMT+2","5","1","2","36","weiblich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/12 9:33:41 AM GMT+2","5","1","2","27","männlich","Studium","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/05/12 9:34:50 AM GMT+2","5","4","3","25","männlich","Studium","Ungültig","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme zu",""
"2022/05/12 9:35:47 AM GMT+2","5","4","3","25","männlich","Studium","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme zu",""
