"Timestamp","Wie widersprüchlich ist Politiker 1?","Wie widersprüchlich ist Politiker 2?","Wie widersprüchlich ist Politiker 3?","Wie alt sind Sie?","Ihr Geschlecht","Was ist Ihr höchster Bildungsabschluss?","Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich folgende Aussage: “Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.”","Wie bewerten Sie persönlich folgende Aussage: “Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.”","Wie bewerten Sie persönlich folgende Aussage: “In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.”","Wie bewerten Sie persönlich folgende Aussage: “Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.”","Wie bewerten Sie persönlich folgende Aussage: “Asyl soll weiterhin nur politisch Verfolgten gewährt werden.”","Haben Sie Kommentare zu unserer Umfrage?"
"2022/05/31 2:29:21 PM GMT+2","5","1","1","32","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu","Neutral","Neutral",""
"2022/05/31 2:36:40 PM GMT+2","5","1","1","26","männlich","Studium","FDP","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme zu",""
"2022/05/31 2:41:47 PM GMT+2","5","1","2","20","männlich","Abitur","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme zu",""
"2022/05/31 2:44:25 PM GMT+2","5","1","2","20","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/05/31 2:59:35 PM GMT+2","5","1","4","19","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/31 3:01:24 PM GMT+2","5","1","2","20","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/31 3:05:28 PM GMT+2","5","1","2","29","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",""
"2022/05/31 3:07:55 PM GMT+2","5","1","3","24","weiblich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/05/31 3:12:34 PM GMT+2","5","1","1","25","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/31 3:15:28 PM GMT+2","4","1","1","18","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",""
"2022/05/31 3:22:54 PM GMT+2","5","1","1","23","männlich","Hauptschule","keine Angabe","Ich stimme zu","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Neutral",""
"2022/05/31 3:25:17 PM GMT+2","5","1","1","37","männlich","Realschule","keine Angabe","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Ich stimme zu",""
"2022/05/31 3:26:09 PM GMT+2","5","1","3","31","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",""
"2022/05/31 3:30:17 PM GMT+2","5","2","1","20","weiblich","Abitur","keine Angabe","Ich stimme nicht zu","Neutral","Neutral","Neutral","Neutral",""
"2022/05/31 3:32:29 PM GMT+2","4","1","1","22","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Neutral",""
"2022/05/31 3:34:04 PM GMT+2","5","1","4","21","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/05/31 3:38:29 PM GMT+2","5","1","1","19","männlich","Realschule","Grüne","Neutral","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu","Neutral","Ich habe kein Kommentar zu dieser Umfrage"
"2022/05/31 3:38:58 PM GMT+2","5","1","1","23","männlich","Abitur","Grüne","Ich stimme nicht zu","Neutral","Neutral","Neutral","Neutral",""
"2022/09/19 4:01:27 PM GMT+2","5","1","4","29","männlich","Abitur","Die Partei ","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Neutral",""
"2022/09/19 4:37:38 PM GMT+2","5","1","3","25","weiblich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",""
"2022/09/19 4:38:37 PM GMT+2","5","1","1","22","männlich","Abitur","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/09/19 4:41:26 PM GMT+2","5","1","2","31","männlich","Realschule","keine Angabe","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu",""
"2022/09/19 4:42:27 PM GMT+2","5","1","1","28","männlich","Realschule","Linke","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",""
